pemmdb_carrier,pemmdb_type,pemmdb_hydro_inflows,pecd_carrier,investment_dataset_carrier,tyndp_output_carrier,tyndp_report_carrier,tyndp_vp_carrier,open_tyndp_carrier,open_tyndp_index,open_tyndp_nice_name,benchmarking_capacity,benchmarking_generation,benchmarking_generation_profiles,benchmarking_fed,benchmarking_elec_demand,benchmarking_ch4_demand,benchmarking_h2_demand,benchmarking_ch4_supply,benchmarking_h2_supply,benchmarking_biomass_supply,benchmarking_energy_imports,open_tyndp_type,pypsa_eur_carrier,comment
,,,,,Steam methane reformer,SMR with CCS (Blue),,SMR CC,,SMR (CCS) (Blue Hydrogen),,,,,,smr (grey) and smr with ccs (blue),,,smr (grey) and smr with ccs (blue),,,,,"Hydrogen supply, Methane demand, TYNDP market model doesn't distinguish between grey and blue SMR in the output files"
,,,,,,Undefined for generation,,,,,,,,,,,,,undefined for generation,,,,,Hydrogen supply
,,,,,,Low carbon imports,,H2 import Pipeline,,,,,,,,,,,imports (renewable & low carbon),,,,,Hydrogen supply
,,,,,,Renewable imports,,H2 import Pipeline,,,,,,,,,,,imports (renewable & low carbon),,,,,Hydrogen supply
,,,,,,Ammonia imports,,H2 import LH2,,,,,,,,,,,ammonia imports,,,,,Hydrogen supply
,,,,,,Biomethane (Domestic),,biogas to gas,,,,,,,,,,biomethane (domestic),,,,,,Methane supply
,,,,,,Biomethane (Import),,,,,,,,,,,,biomethane (import),,,,,,Methane supply
,,,,,,Natural gas (Domestic),,,,,,,,,,,,natural gas (domestic),,,,,,Methane supply
,,,,,,Natural gas (Import),,gas,,,,,,,,,,natural gas (import),,,,,,Methane supply
,,,,,,Synthetic methane (Domestic),,Sabatier,,,,,,,,,,synthetic methane (domestic),,,,,,Methane supply
,,,,,,Synthetic methane (Import),,,,,,,,,,,,synthetic methane (import),,,,,,Methane supply
,,,,,,Final demand,,biomass final energy demand,,,,,,,,,,,,final demand,,,,Biomass supply
,,,,,,For electricity,,,,,,,,,,,,,,for electricity,,,,Biomass supply
,,,,,,For biomethane,,for biomethane,,,,,,,,,,,,for biomethane,,,,Biomass supply
,,,,,,For biofuels,,biomass to liquid,,,,,,,,,,,,for biofuels,,,,Biomass supply
,,,,,,For biofuels,,biomass to liquid CC,,,,,,,,,,,,for biofuels,,,,Biomass supply
,,,,,,Methane,,gas,,,,,,,,,,,,,methane,,,Energy imports
,,,,,,Hydrogen,,H2 import LH2,,,,,,,,,,,,,hydrogen,,,Energy imports
,,,,,,Hydrogen,,H2 import Pipeline,,,,,,,,,,,,,hydrogen,,,Energy imports
,,,,,,Liquids,,oil primary,,,,,,,,,,,,,liquids,,,Energy imports
,,,,,,Solids,,coal,,Coal,,,,,,,,,,,solids,,,Energy imports
,,,,,,Solids,,lignite,,Lignite,,,,,,,,,,,solids,,,Energy imports
,,,,,,Biomass,,,,,,,,,,,,,,,biomass,,,Energy imports
