pemmdb_carrier,pemmdb_type,pemmdb_hydro_inflows,pecd_carrier,investment_dataset_carrier,tyndp_output_carrier,tyndp_report_carrier,tyndp_vp_carrier,open_tyndp_carrier,open_tyndp_index,open_tyndp_nice_name,benchmarking_capacity,benchmarking_generation,benchmarking_generation_profiles,benchmarking_fed,benchmarking_elec_demand,benchmarking_ch4_demand,benchmarking_h2_demand,benchmarking_ch4_supply,benchmarking_h2_supply,benchmarking_biomass_supply,benchmarking_energy_imports,open_tyndp_type,pypsa_eur_carrier,comment
Hydro,Pure Pump Storage - Turbine,PS_Closed,,,Pump Storage - Closed Loop (turbine),Hydro and pumped storage,Pump Storage - Closed Loop (turbine),hydro-phs-pure,hydro-phs-pure-turbine,Pumped Hydro,hydro and pumped storage,hydro and pumped storage,hydro,,,,,,,,,hydro-phs-pure-turbine,,
,,,,,,,PS Closed,,,,hydro and pumped storage,hydro and pumped storage,,,,,,,,,,,,
Hydro,Pure Pump Storage - Pump,PS_Closed,,,Pump Storage - Closed Loop (pump),,,hydro-phs-pure,hydro-phs-pure-pump,Pumped Hydro,hydro and pumped storage (load),hydro and pumped storage (load),,,,,,,,,,hydro-phs-pure-pump,,
Other RES,Small Biomass,,,,Others renewable,Small Scale RES,Other RES,other-res,other-res-biomass,Other Renewables,other res,other res,other res,,,,,,,other res,,other-res-biomass,,
Other RES,"Geothermal, Marine, Waste and Not Defined",,,,Others renewable,Small Scale RES,Other RES,other-res,other-res-mix,Other Renewables,other res,other res,other res,,,,,,,,,other-res-mix,,
Gas,Conventional old 1,,,,Gas conventional old 1,Methane,Gas conventional,gas,gas-conv-old1,Conventional Gas,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,gas-conv,OCGT,Methane demand
Gas,Conventional old 2,,,,Gas conventional old 2,Methane,Gas conventional,gas,gas-conv-old2,Conventional Gas,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,gas-conv,OCGT,Methane demand
Gas,CCGT old 1,,,,Gas CCGT old 1,Methane,Gas CCGT,gas,gas-ccgt-old1,Gas CCGT,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,gas-ccgt,CCGT,Methane demand
Gas,CCGT old 2,,,,Gas CCGT old 2,Methane,Gas CCGT,gas,gas-ccgt-old2,Gas CCGT,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,gas-ccgt,CCGT,Methane demand
Gas,CCGT new,,,,Gas CCGT new,Methane,Gas CCGT,gas,gas-ccgt-new,Gas CCGT,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,gas-ccgt,CCGT,Methane demand
Gas,CCGT CCS,,,,Gas CCGT CCS,Methane,Gas CCGT CCS,gas,gas-ccgt-ccs,Gas CCGT (CCS),methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,gas-ccgt-ccs,,Methane demand
Gas,OCGT old,,,,Gas OCGT old,Methane,Gas OCGT,gas,gas-ocgt-old,Gas OCGT,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,gas-ocgt,OCGT,Methane demand
Gas,OCGT new,,,,Gas OCGT new,Methane,Gas OCGT,gas,gas-ocgt-new,Gas OCGT,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,gas-ocgt,OCGT,Methane demand
Gas,CCGT present 1,,,,Gas CCGT present 1,Methane,Gas CCGT,gas,gas-ccgt-present1,Gas CCGT,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,gas-ccgt,CCGT,Methane demand
Gas,CCGT present 2,,,,Gas CCGT present 2,Methane,Gas CCGT,gas,gas-ccgt-present2,Gas CCGT,methane (incl. biofuels),methane (incl. biofuels),methane&hydrogen,,,power generation,,,,,,gas-ccgt,CCGT,Methane demand
,,,,,,Methane,Gas,,,,methane (incl. biofuels),methane (incl. biofuels),,,,power generation,,,,,,,,
Nuclear,Nuclear,,,Nuclear,Nuclear,Nuclear,Nuclear,uranium,nuclear,Nuclear,nuclear,nuclear,,,,,,,,,,nuclear,nuclear,
Hard coal,old 1,,,,Hard coal old 1,Coal + Other fossil,Hard coal,coal,coal-old1,Coal,coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),coal&lignite&oil,,,,,,,,,coal,coal,
Hard coal,old 2,,,,Hard coal old 2,Coal + Other fossil,Hard coal,coal,coal-old2,Coal,coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),coal&lignite&oil,,,,,,,,,coal,coal,
Hard coal,new,,,,Hard coal new,Coal + Other fossil,Hard coal,coal,coal-new,Coal,coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),coal&lignite&oil,,,,,,,,,coal,coal,
Hard coal,CCS,,,,Hard coal CCS,Coal + Other fossil,Hard coal,coal,coal-ccs,Coal (CCS),coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),coal&lignite&oil,,,,,,,,,coal-ccs,,
Lignite,old 1,,,,Lignite old 1,Coal + Other fossil,Lignite,lignite,lignite-old1,Lignite,coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),coal&lignite&oil,,,,,,,,,lignite,lignite,
Lignite,old 2,,,,Lignite old 2,Coal + Other fossil,Lignite,lignite,lignite-old2,Lignite,coal + other fossil (incl. biofuels),coal + other fossil (incl. biofuels),coal&lignite&oil,,,,,,,,,lignite,lignite,
